Time resolution is 1 ps
Time =                    0 | Reset = 1 | Count = xxxx | SSD = xxxxxxx | cat = x
Time =               200000 | Reset = 0 | Count = 0000 | SSD = 1111110 | cat = 0
Time =               320000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =               325000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =               345000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =               365000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =               385000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =               405000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =               425000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =               445000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =               455000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =               465000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =               485000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =               505000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =               525000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =               545000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =               565000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =               585000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =               605000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =               625000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =               645000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =               665000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =               675000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =               685000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =               705000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =               725000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =               745000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =               765000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =               785000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =               805000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =               825000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =               845000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =               865000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =               885000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =               895000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =               905000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =               925000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =               945000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =               965000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =               985000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1005000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              1025000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1045000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              1065000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1085000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              1105000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1115000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              1125000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              1145000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              1165000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              1185000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              1205000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              1225000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              1245000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              1265000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              1285000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 1
Time =              1305000 | Reset = 1 | Count = 0000 | SSD = 1111110 | cat = 0
Time =              1315000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1325000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              1345000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1365000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              1385000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1405000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              1425000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1445000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              1465000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1485000 | Reset = 1 | Count = 0001 | SSD = 1111110 | cat = 1
Time =              1505000 | Reset = 1 | Count = 0001 | SSD = 0110000 | cat = 0
Time =              1515000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =              1525000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =              1545000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =              1565000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =              1585000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =              1605000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =              1625000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =              1645000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =              1665000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =              1685000 | Reset = 1 | Count = 0010 | SSD = 1111110 | cat = 1
Time =              1705000 | Reset = 1 | Count = 0010 | SSD = 1101101 | cat = 0
Time =              1715000 | Reset = 1 | Count = 0011 | SSD = 1111001 | cat = 0
Time =              1725000 | Reset = 1 | Count = 0011 | SSD = 1111110 | cat = 1
Time =              1745000 | Reset = 1 | Count = 0011 | SSD = 1111001 | cat = 0
Time =              1765000 | Reset = 1 | Count = 0011 | SSD = 1111110 | cat = 1
Time =              1785000 | Reset = 1 | Count = 0011 | SSD = 1111001 | cat = 0
Time =              1805000 | Reset = 1 | Count = 0011 | SSD = 1111110 | cat = 1
Time =              1825000 | Reset = 1 | Count = 0011 | SSD = 1111001 | cat = 0
Time =              1845000 | Reset = 1 | Count = 0011 | SSD = 1111110 | cat = 1
Time =              1865000 | Reset = 1 | Count = 0011 | SSD = 1111001 | cat = 0
Time =              1885000 | Reset = 1 | Count = 0011 | SSD = 1111110 | cat = 1
Time =              1905000 | Reset = 1 | Count = 0011 | SSD = 1111001 | cat = 0
Time =              1915000 | Reset = 1 | Count = 0100 | SSD = 0110011 | cat = 0
Time =              1925000 | Reset = 1 | Count = 0100 | SSD = 1111110 | cat = 1
Time =              1945000 | Reset = 1 | Count = 0100 | SSD = 0110011 | cat = 0
Time =              1965000 | Reset = 1 | Count = 0100 | SSD = 1111110 | cat = 1
Time =              1985000 | Reset = 1 | Count = 0100 | SSD = 0110011 | cat = 0
Time =              2005000 | Reset = 1 | Count = 0100 | SSD = 1111110 | cat = 1
Time =              2025000 | Reset = 1 | Count = 0100 | SSD = 0110011 | cat = 0
Time =              2045000 | Reset = 1 | Count = 0100 | SSD = 1111110 | cat = 1
Time =              2065000 | Reset = 1 | Count = 0100 | SSD = 0110011 | cat = 0
Time =              2085000 | Reset = 1 | Count = 0100 | SSD = 1111110 | cat = 1
Time =              2105000 | Reset = 1 | Count = 0100 | SSD = 0110011 | cat = 0
Time =              2115000 | Reset = 1 | Count = 0101 | SSD = 1011011 | cat = 0
Time =              2125000 | Reset = 1 | Count = 0101 | SSD = 1111110 | cat = 1
Time =              2145000 | Reset = 1 | Count = 0101 | SSD = 1011011 | cat = 0
Time =              2165000 | Reset = 1 | Count = 0101 | SSD = 1111110 | cat = 1
Time =              2185000 | Reset = 1 | Count = 0101 | SSD = 1011011 | cat = 0
Time =              2205000 | Reset = 1 | Count = 0101 | SSD = 1111110 | cat = 1
Time =              2225000 | Reset = 1 | Count = 0101 | SSD = 1011011 | cat = 0
Time =              2245000 | Reset = 1 | Count = 0101 | SSD = 1111110 | cat = 1
Time =              2265000 | Reset = 1 | Count = 0101 | SSD = 1011011 | cat = 0
Time =              2285000 | Reset = 1 | Count = 0101 | SSD = 1111110 | cat = 1
Time =              2305000 | Reset = 1 | Count = 0101 | SSD = 1011011 | cat = 0
Time =              2315000 | Reset = 1 | Count = 0110 | SSD = 1011111 | cat = 0
Time =              2325000 | Reset = 1 | Count = 0110 | SSD = 1111110 | cat = 1
Time =              2345000 | Reset = 1 | Count = 0110 | SSD = 1011111 | cat = 0
Time =              2365000 | Reset = 1 | Count = 0110 | SSD = 1111110 | cat = 1
Time =              2385000 | Reset = 1 | Count = 0110 | SSD = 1011111 | cat = 0
Time =              2405000 | Reset = 1 | Count = 0110 | SSD = 1111110 | cat = 1
Time =              2425000 | Reset = 1 | Count = 0110 | SSD = 1011111 | cat = 0
Time =              2445000 | Reset = 1 | Count = 0110 | SSD = 1111110 | cat = 1
Time =              2465000 | Reset = 1 | Count = 0110 | SSD = 1011111 | cat = 0
Time =              2485000 | Reset = 1 | Count = 0110 | SSD = 1111110 | cat = 1
Time =              2505000 | Reset = 1 | Count = 0110 | SSD = 1011111 | cat = 0
Time =              2515000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              2525000 | Reset = 1 | Count = 0111 | SSD = 1111110 | cat = 1
Time =              2545000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              2565000 | Reset = 1 | Count = 0111 | SSD = 1111110 | cat = 1
Time =              2585000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              2605000 | Reset = 1 | Count = 0111 | SSD = 1111110 | cat = 1
Time =              2625000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              2645000 | Reset = 1 | Count = 0111 | SSD = 1111110 | cat = 1
Time =              2665000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              2685000 | Reset = 1 | Count = 0111 | SSD = 1111110 | cat = 1
Time =              2705000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              2715000 | Reset = 1 | Count = 1000 | SSD = 1111111 | cat = 0
Time =              2725000 | Reset = 1 | Count = 1000 | SSD = 1111110 | cat = 1
Time =              2745000 | Reset = 1 | Count = 1000 | SSD = 1111111 | cat = 0
Time =              2765000 | Reset = 1 | Count = 1000 | SSD = 1111110 | cat = 1
Time =              2785000 | Reset = 1 | Count = 1000 | SSD = 1111111 | cat = 0
Time =              2805000 | Reset = 1 | Count = 1000 | SSD = 1111110 | cat = 1
Time =              2825000 | Reset = 1 | Count = 1000 | SSD = 1111111 | cat = 0
Time =              2845000 | Reset = 1 | Count = 1000 | SSD = 1111110 | cat = 1
Time =              2865000 | Reset = 1 | Count = 1000 | SSD = 1111111 | cat = 0
Time =              2885000 | Reset = 1 | Count = 1000 | SSD = 1111110 | cat = 1
Time =              2905000 | Reset = 1 | Count = 1000 | SSD = 1111111 | cat = 0
Time =              2915000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              2925000 | Reset = 1 | Count = 0111 | SSD = 1111110 | cat = 1
Time =              2945000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              2965000 | Reset = 1 | Count = 0111 | SSD = 1111110 | cat = 1
Time =              2985000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              3005000 | Reset = 1 | Count = 0111 | SSD = 1111110 | cat = 1
Time =              3025000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
Time =              3045000 | Reset = 1 | Count = 0111 | SSD = 1111110 | cat = 1
Time =              3065000 | Reset = 1 | Count = 0111 | SSD = 1110000 | cat = 0
